,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
168,spoonbill,thimble,"['pop bottle, soda bottle', 'water bottle']","['bathing cap, swimming cap', 'tiger beetle']","['shower curtain', 'hay']","['American chameleon, anole, Anolis carolinensis', 'warplane, military plane']","['spider monkey, Ateles geoffroyi', 'book jacket, dust cover, dust jacket, dust wrapper']","['shower curtain', 'coil, spiral, volute, whorl, helix']","['slug', 'space bar']","['spoonbill', 'maillot, tank suit']","['chest', 'plate']","['cassette player', 'plate']",,,,,,,,,,,,,,,
169,"maze, labyrinth","pop bottle, soda bottle","['maze, labyrinth', 'pop bottle, soda bottle']","['maze, labyrinth', 'green mamba']","['maze, labyrinth', 'pop bottle, soda bottle']","['Boston bull, Boston terrier', 'pop bottle, soda bottle']","['barbell', 'pop bottle, soda bottle']","['eel', 'pop bottle, soda bottle']",,,,,,,,,,,,,,,,,,,
170,pickelhaube,crate,"['pole', 'drake']","['jellyfish', 'drake']","['spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish', 'running shoe']","['typewriter keyboard', 'barn spider, Araneus cavaticus']","['pickelhaube', 'mailbag, postbag']",,,,,,,,,,,,,,,,,,,,
171,pickelhaube,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica","['pickelhaube', 'gibbon, Hylobates lar']",,,,,,,,,,,,,,,,,,,,,,,,
172,"shield, buckler",thimble,"['admiral', 'porcupine, hedgehog']","['picket fence, paling', 'bookshop, bookstore, bookstall']","['Gila monster, Heloderma suspectum', 'drumstick']","['cuirass', 'ground beetle, carabid beetle']","['chest', 'thimble']","['Gila monster, Heloderma suspectum', 'golf ball']","['oil filter', 'Pekinese, Pekingese, Peke']","['triumphal arch', 'china cabinet, china closet']","['obelisk', 'shower cap']","['theater curtain, theatre curtain', 'iron, smoothing iron']",,,,,,,,,,,,,,,
173,"picket fence, paling",paper towel,"['head cabbage', ""spider web, spider's web""]","['swimming trunks, bathing trunks', 'suit, suit of clothes']","['diaper, nappy, napkin', 'suit, suit of clothes']","['pickelhaube', 'suit, suit of clothes']","['espresso', 'plate']","['fountain pen', 'amphibian, amphibious vehicle']","['pole', 'basketball']","['steel arch bridge', 'beer bottle']","['spoonbill', 'titi, titi monkey']",,,,,,,,,,,,,,,,
174,street sign,"slide rule, slipstick","['thatch, thatched roof', 'coucal']","['rain barrel', 'fiddler crab']","['bubble', 'water jug']","['rain barrel', 'coucal']","['reflex camera', 'slide rule, slipstick']","['reflex camera', 'stinkhorn, carrion fungus']","['pole', 'coucal']","['soap dispenser', 'plate']","['bath towel', 'plate']","['soap dispenser', 'whistle']","['pickelhaube', 'whistle']","['pickelhaube', 'whistle']",,,,,,,,,,,,,
175,spoonbill,water jug,"['spoonbill', 'remote control, remote']","['spoonbill', 'mortar']","['zucchini, courgette', 'hotdog, hot dog, red hot']","['spoonbill', 'hotdog, hot dog, red hot']","['spoonbill', 'hotdog, hot dog, red hot']",,,,,,,,,,,,,,,,,,,,
176,pickelhaube,"pot, flowerpot","['horizontal bar, high bar', 'switch, electric switch, electrical switch']","['knee pad', 'coucal']","['reflex camera', 'running shoe']","['greenhouse, nursery, glasshouse', 'cliff dwelling']","['chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour', 'warplane, military plane']",,,,,,,,,,,,,,,,,,,,
177,"zucchini, courgette","remote control, remote","['quill, quill pen', 'snowplow, snowplough']","['flatworm, platyhelminth', 'half track']","['steel arch bridge', 'gown']","['zucchini, courgette', 'remote control, remote']","['spoonbill', 'pitcher, ewer']","['spoonbill', 'remote control, remote']","['zucchini, courgette', 'remote control, remote']","['zucchini, courgette', 'remote control, remote']","['zucchini, courgette', 'remote control, remote']","['spoonbill', 'remote control, remote']","['spoonbill', 'remote control, remote']","['zucchini, courgette', 'pitcher, ewer']","['spoonbill', 'remote control, remote']","['zucchini, courgette', 'remote control, remote']","['zucchini, courgette', 'remote control, remote']","['pole', 'envelope']","['walking stick, walkingstick, stick insect', 'Italian greyhound']",,,,,,,,
178,barn,bee,"['mosque', 'stinkhorn, carrion fungus']","['spoonbill', 'diamondback, diamondback rattlesnake, Crotalus adamanteus']","['spoonbill', 'analog clock']","['spoonbill', 'pitcher, ewer']","['shield, buckler', ""loupe, jeweler's loupe""]",,,,,,,,,,,,,,,,,,,,
179,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","pot, flowerpot","['Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis', 'whistle']","['greenhouse, nursery, glasshouse', 'pitcher, ewer']","['spoonbill', 'pinwheel']","['chest', 'water bottle']","[""plunger, plumber's helper"", 'soft-coated wheaten terrier']","['spoonbill', 'bannister, banister, balustrade, balusters, handrail']","['cuirass', 'vault']",,,,,,,,,,,,,,,,,,
180,"ruddy turnstone, Arenaria interpres",strainer,"['spoonbill', 'hognose snake, puff adder, sand viper']","['spoonbill', 'space bar']","['toucan', 'space bar']","['toucan', 'space bar']",,,,,,,,,,,,,,,,,,,,,
181,rain barrel,window shade,"['golden retriever', 'window shade']","['soap dispenser', 'remote control, remote']","['rain barrel', 'hermit crab']","['spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish', 'plate']","['golden retriever', 'dome']","['walking stick, walkingstick, stick insect', 'dome']",,,,,,,,,,,,,,,,,,,
182,potter's wheel,"drum, membranophone, tympan",,,,,,,,,,,,,,,,,,,,,,,,,
184,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",chainlink fence,"['mosque', 'stinkhorn, carrion fungus']","['mosque', 'ground beetle, carabid beetle']","['shower curtain', 'thimble']","['trifle', 'meat loaf, meatloaf']","['shower curtain', 'jean, blue jean, denim']","['American alligator, Alligator mississipiensis', 'curly-coated retriever']","['mosque', 'birdhouse']","['mosque', 'sea lion']","['shower curtain', 'yawl']","['shower curtain', 'neck brace']",,,,,,,,,,,,,,,
185,pickelhaube,"stinkhorn, carrion fungus","['pickelhaube', 'stove']","['sombrero', 'plate']","['sleeping bag', 'plate']","['king penguin, Aptenodytes patagonica', 'parking meter']","['wooden spoon', 'megalith, megalithic structure']","['cauliflower', 'holster']","['plastic bag', 'stinkhorn, carrion fungus']","['European gallinule, Porphyrio porphyrio', 'sewing machine']","['trifle', 'football helmet']","['horizontal bar, high bar', 'web site, website, internet site, site']","['coffee mug', 'tow truck, tow car, wrecker']","['Gila monster, Heloderma suspectum', 'African elephant, Loxodonta africana']","['pickelhaube', 'rule, ruler']","['cheeseburger', ""loupe, jeweler's loupe""]","['eel', 'chainlink fence']","['sombrero', 'stove']","['reflex camera', 'oxygen mask']","['reflex camera', 'oxygen mask']","['steel arch bridge', 'cannon']",,,,,,
186,"walking stick, walkingstick, stick insect","groom, bridegroom","['gas pump, gasoline pump, petrol pump, island dispenser', 'Rhodesian ridgeback']",,,,,,,,,,,,,,,,,,,,,,,,
187,soup bowl,"ground beetle, carabid beetle","['soup bowl', 'stinkhorn, carrion fungus']","['agama', 'Shetland sheepdog, Shetland sheep dog, Shetland']","['bee eater', 'brass, memorial tablet, plaque']","['soup bowl', 'bee']",,,,,,,,,,,,,,,,,,,,,
188,Yorkshire terrier,"plane, carpenter's plane, woodworking plane","['reflex camera', 'manhole cover']","['reflex camera', 'Brittany spaniel']","['fountain pen', 'gong, tam-tam']",,,,,,,,,,,,,,,,,,,,,,
189,"quill, quill pen",manhole cover,"['quill, quill pen', 'common iguana, iguana, Iguana iguana']",,,,,,,,,,,,,,,,,,,,,,,,
190,shower cap,thimble,"['quail', 'leafhopper']","['cuirass', 'hair slide']",,,,,,,,,,,,,,,,,,,,,,,
191,spoonbill,"ice lolly, lolly, lollipop, popsicle","['spoonbill', 'maillot, tank suit']","['slug', 'sports car, sport car']","['shield, buckler', 'green lizard, Lacerta viridis']","['spoonbill', 'hotdog, hot dog, red hot']","['spoonbill', 'thimble']","['quill, quill pen', 'stinkhorn, carrion fungus']","['quill, quill pen', 'pitcher, ewer']","['quill, quill pen', 'tiger beetle']","['quill, quill pen', 'tiger beetle']","['quill, quill pen', 'valley, vale']","['quill, quill pen', 'hotdog, hot dog, red hot']","['quill, quill pen', ""loupe, jeweler's loupe""]","['quill, quill pen', 'sidewinder, horned rattlesnake, Crotalus cerastes']","['quill, quill pen', 'pitcher, ewer']","['rock python, rock snake, Python sebae', ""loupe, jeweler's loupe""]",,,,,,,,,,
192,slug,toyshop,"['slug', 'hammerhead, hammerhead shark']","['spoonbill', 'analog clock']","['chest', 'water jug']",,,,,,,,,,,,,,,,,,,,,,
194,"quill, quill pen",sandal,"['bell pepper', 'comic book']","['Crock Pot', 'tobacco shop, tobacconist shop, tobacconist']",,,,,,,,,,,,,,,,,,,,,,,
195,chest,holster,"['chest', 'tripod']","['walking stick, walkingstick, stick insect', 'golf ball']",,,,,,,,,,,,,,,,,,,,,,,
196,chest,"stinkhorn, carrion fungus","['pole', 'trolleybus, trolley coach, trackless trolley']",,,,,,,,,,,,,,,,,,,,,,,,
197,soap dispenser,fiddler crab,"['rain barrel', 'fiddler crab']","['rain barrel', 'scuba diver']","['rain barrel', 'stinkhorn, carrion fungus']","['rain barrel', 'stinkhorn, carrion fungus']","['wallet, billfold, notecase, pocketbook', 'chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour']",,,,,,,,,,,,,,,,,,,,
198,soap dispenser,"computer keyboard, keypad","['spoonbill', 'plate']","['chest', 'water jug']","['chest', 'hair slide']","['reflex camera', 'plate']","['gasmask, respirator, gas helmet', 'radiator']","['gasmask, respirator, gas helmet', 'radiator']","['combination lock', 'amphibian, amphibious vehicle']","['spoonbill', 'holster']","['spoonbill', 'redshank, Tringa totanus']",,,,,,,,,,,,,,,,
199,pole,printer,,,,,,,,,,,,,,,,,,,,,,,,,
200,pole,"grasshopper, hopper","['cuirass', 'patio, terrace']","['pole', 'plate']","['pickelhaube', 'stinkhorn, carrion fungus']",,,,,,,,,,,,,,,,,,,,,,
201,chest,water jug,"['spoonbill', 'hognose snake, puff adder, sand viper']","['greenhouse, nursery, glasshouse', 'thimble']","['pot, flowerpot', 'holster']","['cassette player', 'Walker hound, Walker foxhound']","['greenhouse, nursery, glasshouse', 'thimble']","['greenhouse, nursery, glasshouse', 'holster']",,,,,,,,,,,,,,,,,,,
202,pole,crate,"['chest', 'bow']","['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'stinkhorn, carrion fungus']","['electric ray, crampfish, numbfish, torpedo', 'holster']","['picket fence, paling', 'gibbon, Hylobates lar']","['chest', 'tripod']","['knot', 'holster']","['collie', 'holster']","['electric ray, crampfish, numbfish, torpedo', 'sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita']","['electric ray, crampfish, numbfish, torpedo', 'stinkhorn, carrion fungus']","['ruddy turnstone, Arenaria interpres', 'stinkhorn, carrion fungus']",,,,,,,,,,,,,,,
203,barbell,window screen,,,,,,,,,,,,,,,,,,,,,,,,,
204,tick,"book jacket, dust cover, dust jacket, dust wrapper",,,,,,,,,,,,,,,,,,,,,,,,,
205,tick,"book jacket, dust cover, dust jacket, dust wrapper",,,,,,,,,,,,,,,,,,,,,,,,,
